ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"175.155.181.10","elite","AS4837","CN","China Unicom Sichuan Province Network","298","N/A","24388","socks5","3801","1","2023-12-12T07:30:57.416Z","54","2776","5117"
"103.105.41.209","elite","AS137143","IN","Minnal Digital Network Private Limited","151","Minnal Digital Network Private Limited","4145","socks4","5288","1","2023-12-12T07:30:57.509Z","100","5152","5171"
"202.159.30.129","elite","AS9340","ID","PT IndoInternet","173","N/A","443","socks4","4803","81","2023-12-12T07:30:57.621Z","99","5100","5146"
"38.127.172.169","elite","AS174","US","Cogent Communications","102","Torlandia Trading SRL","54291","socks4","4001","1","2023-12-12T07:30:54.224Z","100","5128","5136"
"185.94.6.178","elite","AS200848","CZ","ISP Alliance a.s.","30","GRAPE SC","4145","socks4","5186","1","2023-12-12T07:30:54.117Z","100","5159","5181"
"194.28.56.49","elite","AS57803","RU","TeleServise Ltd","78","TeleServis Ltd","3629","socks4","4798","3","2023-12-12T07:30:54.120Z","98","5135","5214"
"102.66.239.11","elite","AS328471","ZA","HERO TELECOMS (PTY) LTD","201","Herotel","5678","socks4","5122","1","2023-12-12T07:30:54.130Z","17","869","5134"
"190.107.146.156","elite","AS14754","HN","Telgua","193","HFC TGU SERCOM","4145","socks4","1799","1","2023-12-12T07:30:54.132Z","98","5097","5182"
"195.154.43.221","elite","AS12876","FR","Online S.A.S.","6","ONLINE","15317","socks5","152","1","2023-12-12T07:30:54.114Z","99","5147","5202"
"139.59.249.213","elite","AS14061","SG","DigitalOcean, LLC","149","Digital Ocean","60432","socks5","816","1","2023-12-12T07:30:50.821Z","86","4318","5046"
